primary_genre,Total_Games,Avg_Price,Avg_Review_Score_Pct,Avg_Value_Score,Avg_Highest_Owners,Avg_Recommendations,Avg_Peak_CCU,Retention_Ratio,Mac_Support_Pct,Linux_Support_Pct
Action,43491,1.6507265546916123,76.01211187458439,inf,102330.59713503944,831.5647375319031,0.2564382473303483,0.15943126115666895,12.361178174794784,10.719459198454853
Casual,24991,1.4322058317230468,77.58482243437066,inf,33335.200672242005,145.2717378256172,0.18655090541457423,0.11115432085265753,18.518666720019205,13.824976991717017
Adventure,23396,1.735072228158244,78.25452118730041,inf,52096.08480082065,341.30141904599077,0.2625836412598062,0.17840806205820164,20.61463498033852,13.750213711745598
Indie,10516,1.711849562185608,76.31221933891054,inf,46957.01787751997,295.6556675542031,0.28951833684821815,0.16204196485543873,19.456066945606697,15.081780144541652
Simulation,2286,2.049555651171408,71.12908479241533,inf,109772.52843394576,1240.9628171478564,0.6464493513989045,0.2422797929513413,15.441819772528435,9.755030621172352
RPG,1852,2.077306539813255,76.7671620236599,inf,116333.69330453564,1204.4973002159827,0.6195207557678026,0.25317213127728627,11.285097192224622,8.315334773218144
Strategy,1356,1.8779622971346521,77.38204517271336,inf,75494.10029498526,872.3252212389381,0.509290280443497,0.17220681246391922,18.657817109144542,11.430678466076696
Free To Play,707,0.0,73.63242234959019,0.0,62432.81471004243,0.3620933521923621,0.2285146722154441,0.11669155971573933,17.82178217821782,8.628005657708627
Racing,467,2.0265695148740903,71.87383247913323,inf,94325.4817987152,1002.5203426124197,0.6395653139209637,0.24514094586454727,10.706638115631693,7.494646680942184
Violent,282,1.4287277084350578,60.19056500179805,0.11259544863964192,31453.90070921986,20.078014184397162,0.028664285846760198,0.2695035460992908,15.24822695035461,8.156028368794328
Massively Multiplayer,192,0.5359450664923863,66.52510231440493,inf,202656.25,830.734375,0.8268671353823368,0.14488754692791156,19.270833333333336,7.291666666666667
Sports,191,1.8157519376067917,67.36633699116398,inf,55078.53403141361,287.0785340314136,0.37049368591525184,0.17641245578291978,10.99476439790576,3.664921465968586
Utilities,141,1.1700308690263794,69.9628758564934,0.0,75602.83687943262,135.93617021276594,1.0003469996903236,0.23232437668818567,9.219858156028367,5.673758865248227
Animation & Modeling,115,1.4962021316371008,70.65670934204122,0.0,57826.086956521736,132.30434782608697,0.824997093515749,0.31661123683555403,10.434782608695652,5.217391304347826
Education,93,1.0742055090692693,73.25437746401549,0.0,21612.90322580645,0.0,0.01490639097978377,0.06451612903225806,8.60215053763441,5.376344086021505
Sexual Content,75,1.423688167102561,66.20538350522112,0.8238848106223654,27200.0,35.56,0.09782582551610157,0.4,22.666666666666664,9.333333333333334
Design & Illustration,54,1.6316185242281913,65.69726041066683,0.0,22592.59259259259,53.01851851851852,0.3243557639020332,0.2037037037037037,11.11111111111111,7.4074074074074066
