feature,importance_mean,importance_std
log_reviews,0.9994244103750722,0.008429883042467508
peak_ccu,0.16525972038667183,0.002991913326449677
age_by_years,0.04439208887905012,0.0009565604045373193
price,0.020697653755020484,0.0009336057878511103
genre_casual,0.002815473851598682,0.0003542056112624317
average_playtime_forever,0.002244610082245613,0.0001735504125946249
full_audio_languages_count,0.002152918009854665,0.00020705046604568673
categories_count,0.001791121758511638,0.00022091833153353195
genre_count,0.0016201246223893184,0.00020677510928840647
languages_count,0.0010650652021811924,0.00023340637191856178
is_indie,0.0007245644416895791,0.00011814160457573837
cat_single_player,0.00033373144897419493,9.254530318841313e-05
